zzyzzyxx2.rom	game.name	game.name.short	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	game.mature	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
sbm	Sonic Blast Man (US)	Sonic Blast Man	Taito Corporation	1990	Electromechanical / Misc.	UNKNOWN	UNKNOWN	UNKNOWN	2	4	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	320	224	R
sboblboa	Super Bobble Bobble (set 1)	Super Bobble Bobble	UNKNOWN	1986	Platform / Run Jump	bublbobl	UNKNOWN	UNKNOWN	2	2	2	joy2way		UNKNOWN	59.185606	H	UNKNOWN	UNKNOWN	256	224	R
sboblbobla	Super Bobble Bobble (bootleg, set 2)	Super Bobble Bobble	bootleg	1986	Platform / Run Jump	UNKNOWN	bublbobl	bublbobl	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	59.185606	H	4	3	256	224	R
sboblboblb	Super Bobble Bobble (bootleg, set 3)	Super Bobble Bobble	bootleg	1986	Platform / Run Jump	UNKNOWN	bublbobl	bublbobl	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	59.185606	H	4	3	256	224	R
sboblboblc	Super Bubble Bobble (bootleg)	Super Bubble Bobble	bootleg	1986	Platform / Run Jump	UNKNOWN	bublbobl	bublbobl	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	59.185606	H	4	3	256	224	R
sboblbobld	Super Bobble Bobble (bootleg, set 4)	Super Bobble Bobble	bootleg	1986	Platform / Run Jump	UNKNOWN	bublbobl	bublbobl	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	59.185606	H	4	3	256	224	R
sboblbobl	Super Bobble Bobble (bootleg, set 1)	Super Bobble Bobble	bootleg (Datsu)	1986	Platform / Run Jump	UNKNOWN	bublbobl	bublbobl	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	59.185606	H	4	3	256	224	R
sboblbob	Super Bobble Bobble (set 2)	Super Bobble Bobble	UNKNOWN	1986	Platform / Run Jump	bublbobl	UNKNOWN	UNKNOWN	2	2	2	joy2way		UNKNOWN	59.185606	H	UNKNOWN	UNKNOWN	256	224	R
sbombera	Space Bomber	Space Bomber	Psikyo	1998	Shooter / Gallery	UNKNOWN	sbomber	sbomber	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.000000	V	3	4	320	224	R
sbomberb	Space Bomber (ver. B)	Space Bomber	UNKNOWN	1998	Shooter / Gallery	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	224	R
sbomber	Space Bomber (ver. B)	Space Bomber	Psikyo	1998	Shooter / Gallery	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.000000	V	3	4	320	224	R
sbowling	Strike Bowling	Strike Bowling	Taito Corporation	1982	Sports / Bowling	UNKNOWN	UNKNOWN	UNKNOWN	2	1	2	trackball		UNKNOWN	60	V	UNKNOWN	UNKNOWN	240	224	R
sbp	Super Bubble Pop	Super Bubble Pop	Vektorlogic	2004	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.185606	H	UNKNOWN	UNKNOWN	320	224	UNKNOWN
sbrain	Superbrain	Superbrain	Intertec	1981	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	240	UNKNOWN
sbrkout3	Super Breakout (rev 03)	Super Breakout	Atari	1978	Ball & Paddle / Breakout	sbrkout	sbrkout	UNKNOWN	2	1	1	paddle		UNKNOWN	60.114504	V	UNKNOWN	UNKNOWN	256	224	R
sbrkoutc	Super Breakout (Canyon and Vertical Breakout, prototype)	Super Breakout	Atari	1978	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.114504	V	UNKNOWN	UNKNOWN	256	224	UNKNOWN
sbrkoutct	Super Breakout (Cocktail, prototype)	Super Breakout	Atari	1978	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.114504	V	UNKNOWN	UNKNOWN	256	224	UNKNOWN
sbrkout	Super Breakout (rev 04)	Super Breakout	Atari	1978	Ball & Paddle / Breakout	UNKNOWN	UNKNOWN	UNKNOWN	2	1	1	paddle		UNKNOWN	60.114504	V	UNKNOWN	UNKNOWN	256	224	R
sbsgomo	Space Battle Ship Gomorrah	Space Battle Ship Gomorrah	UPL	1990	Shooter / Flying Horizontal	bioship	bioship	UNKNOWN	2	2	2	joy8way		UNKNOWN	56	H	UNKNOWN	UNKNOWN	256	224	R
sbucks3	Superbucks 3	Superbucks 3	Aristocrat	199?	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	400	UNKNOWN
sbuggera	Space Bugger (set 2)	Space Bugger	Game-A-Tron	1981	Shooter / Gallery	sbugger	sbugger	UNKNOWN	1	2	1	vjoy2way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	512	256	R
sbugger	Space Bugger (set 1)	Space Bugger	Game-A-Tron	1981	Shooter / Gallery	UNKNOWN	UNKNOWN	UNKNOWN	1	2	1	vjoy2way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	512	256	R
sbuk5	Super Bucks V (20203611, NSW/ACT)	Super Bucks V	Aristocrat	200?	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
sburners	Street Burners [TTL]	Street Burners [TTL]	Allied Leisure	1975	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	29.970030	H	UNKNOWN	UNKNOWN	858	525	UNKNOWN
sbxc	Sengoku Basara X Cross	Sengoku Basara X Cross	Capcom / Arc System Works	2008	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
